Forced Category,DENK: strategie en doelen,ORGANISEER: ,quadrant,ring,status,"Label
",File Path,Section 1 # Titel,Section 2## Wat wordt hiermee bedoeld?,Section 3 ## Hoe staan we ervoor?,Section 4 ## Waar kan ik hier meer over lezen?,label,link,Section 5,Section 6,Section 7,Section 8,Category,New Category
Innovatie & Optimalisatie,,,3,0,1,"Titel
",C:\Users\jelle\Downloads\wiki\!-template.md,"# Titel
","## Wat wordt hiermee bedoeld?
Beschrijf wat we bedoelen met dit item. Geef voorbeelden in bullets.

- 

- 

- 
","## Hoe staan we ervoor?
Beschrijf hoe we ervoor staan. Geef voorbeelden in bullets:

- 

- 

- 
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.wigo4it.nl/?utm=duurzaamheidsradar"">Wigo4it website</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,3,2,0,"1% van de begroting
",C:\Users\jelle\Downloads\wiki\1procentVanDeBegroting.md,"# 1% van de begroting
","## Wat wordt hiermee bedoeld?
Bij ons op kantoor heerst de overtuiging dat duurzame oplossingen de wereld redden, zelfs als ze soms wat meer kosten dan de standaard opties. Daarom willem we 1% van onze totale begroting te reserveren voor duurzaamheid. Dit klinkt misschien als een klein percentage, maar het is een groot gebaar richting een groenere toekomst. Die 1% fungeert als onze financiële buffer, zodat we milieuvriendelijke keuzes kunnen maken zonder in te boeten op kwaliteit of effectiviteit.

*Voorbeelden:*
- Hosting: De Azure-regio in Zweden draait op 100% CO2-vrije energie. Klinkt cool, toch? Het betekent dat we daar CPU-intensieve batches kunnen draaien, wat een stuk vriendelijker is voor de planeet. Ja, het kost iets meer dan in de Regio Amsterdam, maar het is als investeren in een betere toekomst.

- Duurzame Inkoop: We kiezen liever voor producten en diensten die groen zijn, ook al kost het wat extra. We geven de voorkeur aan leveranciers met duurzaamheidscertificaten zoals Fair Trade of Rainforest Alliance. Zo drinken we onze koffie met een gerust hart.

- Gebruikersapparatuur: Kapotte telefoons en laptops? Vroeger zou je ze misschien weggooien, maar wij repareren ze. Zelfs als ze economisch gezien 'afgeschreven' zijn. Zo verlengen we de levensduur van onze spullen en dragen we bij aan een duurzamere bedrijfsvoering.
","## Hoe staan we ervoor?
Op dit moment is er in de begroting nog geen specifieke reservering opgenomen voor duurzaamheidsinitiatieven maar we zijn ons bewust van het belang van duurzaamheid en de impact die het kan hebben op zowel onze bedrijfsresultaten als onze maatschappelijke verantwoordelijkheid. 

*Initiatieven:*
- Management Inspireren: We moeten het management inspireren en motiveren om de 1%-regel voor duurzaamheid te omarmen door de lange termijn voordelen voor zowel het bedrijf als de maatschappij te benadrukken, en hen te laten zien hoe hun leiderschap kan bijdragen aan een groenere toekomst.

- Op maandag 29 juli is er door MT akkoord gegeven op de memo om 1% van de begroting vanaf 2025 te reserveren voor duurzaamheid!

Dus, als je denkt dat 1% weinig is, bedenk dan dat dit het begin is van iets groots. Elke stap die we zetten in de richting van duurzaamheid, hoe klein ook, brengt ons dichter bij een betere wereld. En dat is toch iets om enthousiast van te worden, nietwaar?
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.wigo4it.nl/?utm=duurzaamheidsradar"">Wigo4it website</a>",,,,,,,unknown,onbekend
Strategische Doelen,,,3,2,0,"5% van de tijd
",C:\Users\jelle\Downloads\wiki\5procentVanDeTijd.md,"# 5% van de tijd
","## Wat wordt hiermee bedoeld?
In de huidige tijd is duurzaamheid niet langer een optionele bedrijfsstrategie, maar een noodzakelijke aanpak voor bedrijven die streven naar langetermijnsucces en maatschappelijke verantwoordelijkheid. Het reserveren van 5% van de werktijd van medewerkers om te werken aan duurzaamheid biedt tal van voordelen, zowel voor het bedrijf als voor de bredere gemeenschap.

- **Innovatie en Creativiteit**: Tijd voor duurzaamheid stimuleert innovatie en creativiteit, leidt tot milieuvriendelijke oplossingen en kan kostenbesparingen opleveren.

- **Verbeterde Bedrijfsreputatie**: Zichtbare investeringen in duurzaamheid verbeteren het imago bij klanten en toekomstige mederwerkers.

- **Medewerkersbetrokkenheid**: Duurzaamheidsinitiatieven verhogen de betrokkenheid en motivatie van medewerkers, wat resulteert in hogere productiviteit en lagere verloopcijfers.

- **Vooruitlopen op Regelgeving**: Proactief investeren in duurzaamheid bereidt bedrijven voor op strengere milieuregels, waardoor dure (ad-hoc) aanpassingen in de toekomst worden voorkomen.

","## Hoe staan we ervoor?

Op dit moment besteden individuen tijd aan duurzaamheidsinitiatieven, maar is dit nog niet ingebed in de bedrijfscultuur. Om de transitie van individuele inspanningen naar een bredere cultuur te maken, stellen wij voor om 5% van de tijd van elke medewerker te reserveren voor duurzaamheid. Dit zal helpen om duurzaamheid als een kernwaarde in te bedden in onze dagelijkse werkzaamheden. Voorbeelden van hoe deze tijd kan worden benut zijn:

- **Training en Educatie**: Medewerkers kunnen deelnemen aan trainingen en workshops over duurzame praktijken en hoe deze toegepast kunnen worden in hun dagelijkse werkzaamheden, wat bijdraagt aan een bredere bewustwording en kennisdeling binnen het bedrijf.

- **Onderzoeken en Implementeren van Groene Technologieën**: Medewerkers kunnen tijd investeren in het verkennen en toepassen van groene coding-principes en duurzame technologieën. Dit omvat onder andere het optimaliseren van softwareprestaties om energie-efficiëntie te bevorderen.

","## Waar kan ik hier meer over lezen?
- <a href=""https://www.wigo4it.nl/?utm=duurzaamheidsradar"">Wigo4it website</a>",,,,,,,Goals,Strategische Doelen
Bestuur & Beleid,,,3,1,0,"Aanbesteding
",C:\Users\jelle\Downloads\wiki\aanbesteding.md,"# Aanbesteding
","## Wat wordt hiermee bedoeld?
Dit houdt in dat er strikte eisen worden gesteld aan de energie-efficiëntie, herbruikbaarheid van producten, minimale impact op het milieu en eerlijke arbeidsomstandigheden. Bij duurzame aanbesteding wordt ook gestreefd naar het minimaliseren van transportgerelateerde emissies door de voorkeur te geven aan lokale leveranciers. Daarnaast worden er heldere duurzaamheidscriteria opgenomen in de aanbestedingscontracten, en worden leveranciers regelmatig geëvalueerd op hun prestaties op dit gebied.

- Selectie van leveranciers die producten en diensten aanbieden met een lage milieubelasting en een hoge sociale verantwoordelijkheid.
- Beoordelingscriteria zoals energie-efficiëntie, herbruikbaarheid en minimalisering van afval en CO?-uitstoot.
- Mechanismen voor het evalueren van de duurzaamheidsprestaties van leveranciers en het verbeteren van hun processen.
- Het gebruik van lokale leveranciers om transportemissies te beperken en het opnemen van duurzame verplichtingen in alle contracten.
","## Hoe staan we ervoor? 
Bij alle nieuwe aanbestedingen hanteren we strikte duurzaamheidseisen om onze ecologische en maatschappelijke impact te minimaliseren. Deze eisen spelen een centrale rol in onze besluitvorming en worden specifiek afgestemd op IT-oplossingen en hardware. De belangrijkste duurzaamheidseisen die we meenemen in nieuwe aanbestedingen zijn:

- **Energie-efficiëntie**: We kiezen voor IT-apparatuur en datacenteroplossingen die voldoen aan de hoogste normen voor energie-efficiëntie, zoals apparaten met het Energy Star-certificaat of servers met laag stroomverbruik. Dit vermindert zowel energiegebruik als CO?-uitstoot.
- **Levensduur en herbruikbaarheid**: We geven de voorkeur aan hardware die is ontworpen voor een langere levensduur en gemakkelijk te repareren is. Dit draagt bij aan minder vervanging en vermindert elektronisch afval. We stimuleren bovendien de inzet van circulaire IT, waarbij gebruikte apparatuur opnieuw wordt ingezet of gerecycled.
- **Gebruik van duurzame materialen**: Bij de aanschaf van IT-apparatuur letten we op het gebruik van gerecyclede en milieuvriendelijke materialen, zoals gerecycled plastic of metalen die op verantwoorde wijze worden gewonnen.
- **Software-efficiëntie**: Naast hardware richten we ons ook op de energie-efficiëntie van software. Dit betekent dat we oplossingen selecteren die optimaal gebruik maken van systeembronnen en de belasting op datacenters minimaliseren.
- **Verpakkingsmateriaal**: Bij nieuwe IT-leveranciers stellen we eisen aan het minimaliseren van verpakkingsmateriaal, met voorkeur voor volledig recyclebaar of biologisch afbreekbaar verpakkingsmateriaal.
- **Transport en logistiek**: We verkiezen lokale leveranciers of leveranciers die gebruikmaken van duurzame logistieke oplossingen, zoals CO?-neutraal transport, om de ecologische voetafdruk van levering en installatie te verkleinen.
- **Datacenteroptimalisatie**: Voor cloud- en datacenteroplossingen kiezen we voor leveranciers die energie-efficiënte infrastructuren aanbieden, zoals datacenters met koeling door middel van natuurlijke bronnen (zoals water of lucht) en een focus op groene energiebronnen.
","## Waar kan ik hier meer over lezen?
- <a href=""#"">Duurzaame aanbesteden</a>",,,,,,,Governance of IT and managerial decisions,Bestuur & Beleid
Innovatie & Optimalisatie,,,0,2,0,"Algoritme
",C:\Users\jelle\Downloads\wiki\algoritme.md,"# Algoritme
","## Wat wordt hiermee bedoeld?
Algoritmes spelen een essentiële rol in het verduurzamen van IT-processen, met name door het optimaliseren van rekenkracht en het verminderen van energieverbruik. In ons geval gebruiken we voornamelijk beslisalgoritmes om complexe wet- en regelgeving uit te voeren. Door deze algoritmes efficiënter te maken, kunnen we de uitvoering sneller en energiezuiniger maken. Verschillende soorten algoritmes, zoals beslis-, optimalisatie- en compressie-algoritmes, dragen direct bij aan het verduurzamen van onze IT-infrastructuur.

Voorbeelden van verduurzaming met algoritmes:

- **Big-O-notation**: Dit helpt ons bij het analyseren en verbeteren van de efficiëntie van onze beslisalgoritmes. Hoe efficiënter het algoritme, hoe minder rekenkracht en energie nodig zijn voor de uitvoering van complexe wetten en regels.
  
- **Beslisalgoritmes**: Deze algoritmes, die complexe regels en wetgeving uitvoeren, kunnen efficiënter worden gemaakt door het stroomlijnen van beslisbomen en het verminderen van onnodige bewerkingen. Dit zorgt voor minder rekentijd en energieverbruik.

- **Optimalisatiealgoritmes**: Algoritmes die beslisprocessen optimaliseren door de snelste en meest energiezuinige route te vinden bij het toepassen van wetgeving. Dit helpt om de belasting op systemen te verlagen.

- **Machine Learning voor wetgevingsinterpretatie**: Door machine learning toe te passen om processen te automatiseren en te leren van eerdere beslissingen, kan de verwerking van complexe regels efficiënter en energiezuiniger verlopen.
","## Hoe staan we ervoor?
We richten ons op het verduurzamen van onze IT-systemen door onze beslisalgoritmes continu te optimaliseren. Door algoritmes efficiënter te maken, verlagen we ons energieverbruik en verbeteren we de snelheid en nauwkeurigheid van de uitvoering van complexe regelgeving.",,,,,,,,"Methods, way of working",Innovatie & Optimalisatie
Innovatie & Optimalisatie,,,0,2,0,"Always On
",C:\Users\jelle\Downloads\wiki\alwayson.md,"# Always On
","## Wat wordt hiermee bedoeld?
Het ""always-on"" principe, waarbij IT-systemen en hardware continu draaien, lijkt op het eerste gezicht een handige manier om constante toegang en beschikbaarheid te garanderen. Echter, dit model heeft aanzienlijke nadelen op het gebied van duurzaamheid binnen de IT-sector. Het voortdurende gebruik van servers, datacenters en hardware die altijd operationeel is, leidt tot inefficiënties en verhoogde ecologische impact. De kosten en milieu-effecten van deze benadering zijn aanzienlijk en worden vaak over het hoofd gezien. Door te begrijpen waarom een altijd ingeschakelde infrastructuur niet duurzaam is, kunnen bedrijven en organisaties beter geïnformeerde beslissingen nemen over hoe ze hun IT-omgevingen kunnen optimaliseren om energieverbruik te verminderen en de ecologische voetafdruk te verkleinen. Hier zijn de belangrijkste redenen (met een sneeuwbal effect) waarom dit always-on concept niet duurzaam is:

- Hoge Energieconsumptie:

Altijd ingeschakelde apparatuur en datacenters verbruiken continu energie, zelfs wanneer de systemen niet actief worden gebruikt. Dit zorgt voor een constant hoog energieverbruik en daarmee inefficiëntie. Veel hardware is niet geoptimaliseerd voor continu gebruik, wat leidt tot onnodig energieverbruik en een grotere ecologische voetafdruk.

- Overmatige Koeling 

Altijd ingeschakelde hardware genereert constante warmte, wat betekent dat datacenters continu gekoeld moeten worden. Dit verhoogt het energieverbruik verder, aangezien koelsystemen ook continu moeten draaien. De extra energie die nodig is voor koeling en het onderhoud van de hardware belast de infrastructuur en verhoogt de totale milieu-impact.

- Slijtage van hardware

Hardware die constant in gebruik is, veroudert sneller en heeft een kortere levensduur. Dit leidt tot frequenter vervanging en meer elektronisch afval. Het sneller vervangen van hardware zorgt voor meer e-waste die vaak moeilijk te recyclen is en schadelijke effecten op het milieu hebben.
","## Hoe staan we ervoor?
80% van alle workloads draaien volgens het [OnDemand](wiki.html?page=onDemand) principe. We kiezen er bewust voor om zo veel als mogelijk écht alleen te gebruiken als we dat op dat moment nodig hebben. We hebben uiteraard wel wat reservations voor bepaalde workloads, omdat we weten dat die 24/7 gebruikt worden. 
We hebben dus ook nog 20% always-on. Deze 20% draait bij ons in Azure VMware Solution (AVS). AVS hebben wij ingezet voor de laatste 20% van de workloads die we niet op tijd cloud-ready of cloud-native konden maken. Dit stelde ons in staat stelt om onze oude VMware-omgeving te lift en shiften naar Azure. Vanuit daar gaan we deze workloads afvoeren of cloud native maken. Kortom, wat is de status mbt always-on bij Wigo4it:

- 20% draait nog in AVS. AVS zien wij als een hypotheek. Deze AVS hypotheek willen we de komende twee jaar aflossen. Zie onze (- <a href=""https://techradar.wigo4it.nl"">TechRadar</a>)

- 80% is cloud-ready of cloud-native en gebaseerd op on-demand en pay-per-use. 

- We zetten Optimization tools in die ons scherp houden of we toch niet te veel 24/7 hebben draaien.

- Met de Wegwijzer zorgen we ervoor dat zelfs onze klanten indirect duurzame keuzes maken gebaseerd op het on-demand principe. 
","## Waar kan ik hier meer over lezen?

- [OnDemand](wiki.html?page=onDemand)
- [Wegwijzer](wiki.html?page=wegwijzer)
- <a href=""https://techradar.wigo4it.nl"">TechRadar</a>
- <a href=""https://azure.microsoft.com/en-us/products/azure-vmware"">Azure VMware Solution</a>
",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,2,1,2,"APIs
",C:\Users\jelle\Downloads\wiki\APIs.md,"# APIs
","## Wat wordt hiermee bedoeld?
API's (Application Programming Interfaces) worden als duurzaam beschouwd om verschillende redenen:

- *Herbruikbaarheid*: API's maken het mogelijk om dezelfde functionaliteit in verschillende applicaties te hergebruiken zonder dat de onderliggende code opnieuw moet worden geschreven.

- *Schaalbaarheid*: API's maken het mogelijk om diensten eenvoudig uit te breiden of te verkleinen, afhankelijk van de vraag.

- *Interoperabiliteit*: Door het gebruik van gestandaardiseerde protocollen (zoals HTTP en REST) wordt communicatie tussen verschillende systemen eenvoudiger, waardoor er minder aanvullende systemen nodig zijn.

- *Just engough*: API's zorgen ervoor dat je precies de juiste informatie krijgt en voorkomen dat je een volledige dataset moet ophalen.
","## Hoe staan we ervoor?

Op dit moment ontsluiten wij nog geen data aan derden via API's. De Socrates API wordt alleen gebruikt voor de interne werking van onze applicaties.

- Onze interne API schaalt automatisch op basis van het gebruik.

- Het is onze strategie om alle externe datakoppelingen via API's te laten verlopen, zodat we precies de juiste informatie op het juiste moment kunnen leveren.

","## Waar kan ik hier meer over lezen?
- <a href=""https://www.wigo4it.nl/?utm=duurzaamheidsradar"">Wigo4it website</a>
",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,3,0,0,"Archiefwet
",C:\Users\jelle\Downloads\wiki\archiefwet.md,"# Archiefwet
","## Wat wordt hiermee bedoeld?
De overheid maakt en ontvangt heel veel informatie. Die informatie is belangrijk  voor de bedrijfsvoering van de overheid zelf. Maar ook voor publieke verantwoording, rechtsvinding en vanuit cultuur-historisch oogpunt. Daarom zijn er regels die ervoor zorgen dat overheidsorganisaties hun informatie goed bewaren.

- Informatie moet toegankelijk en begrijpelijk zijn voor de duur van de bewaartermijn.

- Er zijn specifieke eisen voor hoe lang verschillende soorten documenten bewaard moeten worden.

- De archiefwet zorgt ervoor dat informatie op een betrouwbare manier wordt bewaard.
","## Hoe staan we ervoor?
Binnen onze applicatie Socrates archiveren wij gegevens op een efficiënte en moderne manier. Hierdoor is het niet langer nodig om een back-up van zeven jaar te bewaren. Dit stelt ons in staat om back-ups te gebruiken waarvoor ze bedoeld zijn: namelijk voor disaster recovery en niet om te voldoen aan de archiefwet.

- Onze archiveringsprocessen zijn geautomatiseerd en voldoen aan de wettelijke eisen.

- De opgeslagen gegevens zijn gemakkelijk toegankelijk voor audit en verantwoording.

- Door het elimineren van tapes voor archiefdoeleinden, slaan we nu 30% minder data op. Bovendien verdwijnen de logistieke uitdagingen rondom het transport van tapes en de noodzaak van een tape library, wat resulteert in minder e-waste.
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.rijksoverheid.nl/onderwerpen/archieven/archieven-van-de-overheid/"">Archiefwet</a>",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,1,3,0,"Archiveren
",C:\Users\jelle\Downloads\wiki\archiveren.md,"# Archiveren
","## Wat wordt hiermee bedoeld?
Hoewel archiveren van mail en data soms noodzakelijk is, brengt het ook aanzienlijke duurzaamheidsuitdagingen met zich mee. Door bewuster om te gaan met welke gegevens worden opgeslagen en hoe deze worden beheerd, kunnen organisaties zowel hun ecologische voetafdruk verkleinen als operationele en economische voordelen behalen.

- Het opslaan van grote hoeveelheden data vereist aanzienlijke hoeveelheden energie, zowel voor de datacenters die de gegevens hosten als voor de koelsystemen die nodig zijn om deze centra operationeel te houden.
- Veel opgeslagen data wordt zelden of nooit geraadpleegd, wat leidt tot onnodige kosten zonder dat er daadwerkelijk een voordeel tegenover staat.
- Het beheren van grote hoeveelheden gearchiveerde data verhoogt de complexiteit van IT-systemen en -processen.
- Het vinden en terughalen van specifieke gegevens kan tijdrovend en omslachtig zijn, vooral wanneer de archiveringssystemen niet goed georganiseerd zijn.
","## Hoe staan we ervoor?
De afgelopen jaren hebben we kritisch gekeken naar wat we allemaal archiveren. Zaken die we de afgelopen jaren hebben aangepast:

- Duidelijk logging en archiveringsbeleid
- Nonprod archiveren we niet meer
- Productie archiveren we max 3 jaar (BIO voorschrift)
- Dat verhaal van 7+ jaar bewaartermijn binnen de overheid is écht op hol geslagen en geldt maar voor specifieke type data. We moeten stoppen met elkaar na-praten en écht doorleven of je die data wel zo lang moet opslaan. Wij durven te stellen dat meer dan 50% van de data binnen de overheid niet zo lang opgeslagen hoeft te worden als dat nu gebeurd. 
","## Waar kan ik hier meer over lezen?
- <a href=""https://www.rijksoverheid.nl/onderwerpen/archieven/archieven-van-de-overheid"">Archieven van de Overheid</a>
- <a href=""https://www.autoriteitpersoonsgegevens.nl/themas/overheid/archivering-door-de-overheid/archiefwet-en-avg"">Archiefwet en AVG</a>





",,,,,,,unknown,onbekend
Innovatie & Optimalisatie,,,2,2,3,"ARM Architectuur
",C:\Users\jelle\Downloads\wiki\armArchitectuur.md,"# ARM Architectuur
","## Wat wordt hiermee bedoeld?
De ARM-architectuur (Advanced RISC Machine) is een type processorarchitectuur dat voornamelijk wordt gebruikt in mobiele apparaten en embedded systemen. Het onderscheidt zich van de x86-architectuur (gebruikt in de meeste desktop- en laptopprocessoren) door zijn eenvoud en energie-efficiëntie.

Voorbeelden van ARM-architectuur:

- **RISC (Reduced Instruction Set Computing)**: ARM-processoren maken gebruik van een eenvoudige set instructies, wat zorgt voor een efficiëntere verwerking en minder energieverbruik per uitgevoerde taak.
- **Lage complexiteit**: ARM-chips zijn eenvoudiger qua ontwerp en bevatten minder transistoren in vergelijking met x86-chips, wat resulteert in een lager energieverbruik.
- **Toepassingen in mobiele en embedded apparaten**: ARM wordt gebruikt in smartphones, tablets, IoT-apparaten en soms zelfs in servers vanwege de balans tussen prestaties en energie-efficiëntie.
- **Energie-efficiëntie**: ARM-processoren gebruiken doorgaans minder stroom dan hun x86-tegenhangers. Gemiddeld is ARM 30-50% zuiniger dan x86, afhankelijk van de specifieke toepassing en configuratie. Dit komt door de focus op lage energieconsumptie per berekening.
- **Prestaties per watt**: ARM-chips zijn vaak ontworpen voor een optimale balans tussen prestaties en energieverbruik, vooral in omgevingen waar stroomverbruik een kritieke factor is, zoals smartphones en tablets. In sommige gevallen kunnen ARM-chips tot wel 5 keer energiezuiniger zijn dan x86, afhankelijk van de taak.
","## Hoe staan we ervoor?
De ARM-architectuur heeft zich in de afgelopen jaren sterk ontwikkeld op het gebied van prestaties en energiezuinigheid, waardoor het aantrekkelijker is geworden en voor sommige apparaten zelfs de standaard.

- **ARM is al de standaard in mobieltjes en tablets**:  
  ARM-processoren domineren de mobiele markt vanwege hun energie-efficiëntie en compactheid. Bijna alle moderne smartphones en tablets, waaronder die van Apple, Samsung en andere grote merken, draaien op ARM-chips.
- **ARM wordt de standaard in laptops**:  
  De recente trend, vooral aangewakkerd door Apple's M1-, M2- en M3-processoren, toont aan dat ARM-chips steeds meer terrein winnen in de laptopmarkt. Wij geven dan ook de voorkeur aan ARM-based laptops.
- **ARM komt op in de datacenters**:  
  ARM breidt zich ook snel uit naar de server- en datacentermarkt, waar energieverbruik en efficiëntie cruciaal zijn. Als onze reservation zijn afgelopen stappen wij daar waar mogelijk over op ARM-based VM's.
  ","## Waar kan ik hier meer over lezen?
- <a href=""https://azure.microsoft.com/nl-nl/updates/generally-available-new-azure-virtual-machines-with-ampere-altra-armbased-processors/"">ARM on Azure</a>",,,,,,,unknown,onbekend
